,sno,material_type,Reviews,weartype,color1,color2,color3,color4
0,0,None,None,Topwear,Red,Black,Maroon,
1,1,None,4.2,Topwear,Red,Black,Maroon,
2,2,"Fabric
Polycotton",4.2,Topwear,Red,Black,Maroon,
3,3,None,3.6,Topwear,Red,Black,Maroon,
4,4,None,None,Topwear,Red,Black,Maroon,
5,5,"Sleeve
Full Sleeve",3.7,Topwear,Red,Black,Maroon,
6,6,None,3.7,Topwear,Red,Black,Maroon,
7,7,None,4.2,Topwear,Red,Black,Maroon,
8,8,None,None,Topwear,Red,Black,Maroon,
9,9,"Sleeve
Full Sleeve",None,Topwear,Red,Black,Maroon,
10,10,None,None,Topwear,Red,Black,Maroon,
11,11,None,None,Topwear,Red,Black,Maroon,
12,12,"Sleeve
Full Sleeve",3.6,Topwear,Red,Black,Maroon,
13,13,"Fabric
Cotton Blend",3.9,Topwear,Red,Black,Maroon,
14,14,"Other Details
Trouser Length for a great looking trousers and gifts. Premium Fabric from established brand which would create a unsurpassed look and great impression.",4.2,Topwear,Red,Black,Maroon,
15,15,"Fabric
Polycotton",None,Topwear,Red,Black,Maroon,
16,16,None,None,Topwear,Red,Black,Maroon,
17,17,None,None,Topwear,Red,Black,Maroon,
18,18,None,None,Topwear,Red,Black,Maroon,
19,19,None,None,Topwear,Red,Black,Maroon,
20,20,None,None,Topwear,Red,Black,Maroon,
21,21,None,None,Topwear,Red,Black,Maroon,
22,22,"Pattern
Striped",None,Topwear,Red,Black,Maroon,
23,23,"Fabric
Cotton Blend",None,Topwear,Red,Black,Maroon,
24,24,None,None,Topwear,Red,Black,Maroon,
25,25,"Sleeve
Full Sleeve",None,Topwear,Red,Black,Maroon,
26,26,None,None,Topwear,Red,Black,Maroon,
27,27,None,None,Topwear,Red,Black,Maroon,
28,28,"Fabric
Cotton Blend",3.9,Topwear,Red,Black,Maroon,
29,29,"Sleeve
Full Sleeve",None,Topwear,Red,Black,Maroon,
30,30,"Sleeve
Full Sleeve",None,Topwear,Red,Black,Maroon,
31,31,"Other Details
Trouser Length for a great looking trousers and gifts. Premium Fabric from established brand which would create a unsurpassed look and great impression.",None,Topwear,Red,Black,Maroon,
32,32,None,4,Topwear,Red,Black,Maroon,
33,33,"Sleeve
Full Sleeve",4.1,Topwear,Red,Black,Maroon,
34,34,"Fabric
Cotton Blend",4,Topwear,Red,Black,Maroon,
35,35,None,3.7,Topwear,Red,Black,Maroon,
36,36,"Fabric
Cotton Blend",None,Topwear,Red,Black,Maroon,
37,37,None,3.6,Topwear,Red,Black,Maroon,
38,38,None,3.9,Topwear,Red,Black,Maroon,
39,39,None,None,Topwear,Red,Black,Maroon,
40,40,None,None,Topwear,Red,Black,Maroon,
41,41,None,4.2,Topwear,Red,Black,Maroon,
42,42,"Fabric
Polycotton",4.2,Topwear,Red,Black,Maroon,
43,43,None,3.6,Topwear,Red,Black,Maroon,
44,44,None,None,Topwear,Red,Black,Maroon,
45,45,"Sleeve
Full Sleeve",3.7,Topwear,Red,Black,Maroon,
46,46,None,3.7,Topwear,Red,Black,Maroon,
47,47,None,4.2,Topwear,Red,Black,Maroon,
48,48,None,None,Topwear,Red,Black,Maroon,
49,49,"Sleeve
Full Sleeve",None,Topwear,Red,Black,Maroon,
50,50,None,None,Topwear,Red,Black,Maroon,
51,51,None,None,Topwear,Red,Black,Maroon,
52,52,"Sleeve
Full Sleeve",3.6,Topwear,Red,Black,Maroon,
53,53,"Fabric
Cotton Blend",3.9,Topwear,Red,Black,Maroon,
54,54,"Other Details
Trouser Length for a great looking trousers and gifts. Premium Fabric from established brand which would create a unsurpassed look and great impression.",4.2,Topwear,Red,Black,Maroon,
55,55,"Fabric
Polycotton",None,Topwear,Red,Black,Maroon,
56,56,None,None,Topwear,Red,Black,Maroon,
57,57,None,None,Topwear,Red,Black,Maroon,
58,58,None,None,Topwear,Red,Black,Maroon,
59,59,None,None,Topwear,Red,Black,Maroon,
60,60,None,None,Topwear,Red,Black,Maroon,
61,61,None,None,Topwear,Red,Black,Maroon,
62,62,"Pattern
Striped",None,Topwear,Red,Black,Maroon,
63,63,"Fabric
Cotton Blend",None,Topwear,Red,Black,Maroon,
64,64,None,None,Topwear,Red,Black,Maroon,
65,65,"Sleeve
Full Sleeve",None,Topwear,Red,Black,Maroon,
66,66,None,None,Topwear,Red,Black,Maroon,
67,67,None,None,Topwear,Red,Black,Maroon,
68,68,"Fabric
Cotton Blend",3.9,Topwear,Red,Black,Maroon,
